Date,Current Ratio,ROE,PBR,Profit,GROWTH,,
2022.6.30,0.87,1.5297,37.82,82959 ,-14.7196694,,
2022.3.31,0.93,1.5288,41.87,97278 ,-21.51518819,,
2021.12.31,1.04,1.4981,40.17,123945 ,48.68642035,,
2021.9.30,1.08,1.4412,36.64,83360 ,2.365105484,,
2021.6.30,1.06,1.3101,35.03,81434 ,-9.097606715,,
2021.3.31,1.14,1.118,29.21,89584 ,-19.61162609,,
2020.12.31,1.16,0.9059,33.36,111439 ,72.24489165,,
2020.9.30,1.36,0.7515,29.73,64698 ,8.39909525,,
2020.6.30,1.47,0.7066,21.32,59685 ,2.352820126,,
2020.3.31,1.5,0.6449,13.79,58313 ,-36.491358,,
2019.12.31,1.6,0.6018,14.11,91819 ,43.37757651,,
2019.9.30,1.54,0.5382,10.76,64040 ,19.01354792,,
2019.6.30,1.51,0.5213,9.06,53809 ,-7.249849177,,
2019.3.31,1.32,0.5129,8.03,58015 ,-31.18847112,,
2018.12.31,1.3,0.5092,6.12,84310 ,34.0381558,,
2018.9.30,1.13,0.4868,9.65,62900 ,18.08880128,,
2018.6.30,1.31,0.435,7.49,53265 ,-12.8759998,,
2018.3.31,1.46,0.3997,6.25,61137 ,-30.75668513,,
2017.12.31,1.24,0.3737,5.84,88293 ,67.92445653,,
2017.9.30,1.28,0.3629,5.59,52579 ,15.79237139,,
2017.6.30,1.39,0.354,5.31,45408 ,-14.15607985,,
2017.3.31,1.39,0.3509,5.25,52896 ,-32.48841751,,
2016.12.31,1.23,0.3494,4.31,78351 ,67.23085461,,
2016.9.30,1.35,0.3559,4.39,46852 ,10.60956608,,
2016.6.30,1.31,0.3789,3.78,42358 ,-16.21733885,,
2016.3.31,1.28,0.4024,4.22,50557 ,-33.36540489,,
2015.12.31,1,0.4279,4.17,75872 ,47.32141123,,
2015.9.30,1.11,0.4294,4.69,51501 ,3.822195343,,
2015.6.30,1.09,0.4146,5.18,49605 ,-14.48888123,,
2015.3.31,1.16,0.3944,5.03,58010 ,-22.23756351,,
2014.12.31,1.13,0.3736,4.7,74599 ,77.09802246,,
2014.9.30,1.08,0.3276,4.76,42123 ,12.53205813,,
2014.6.30,1.47,0.312,4.11,37432 ,-17.99500504,,
2014.3.31,1.63,0.3036,3.42,45646 ,-20.74521652,,
2013.12.31,1.49,0.2893,3.41,57594 ,53.69876174,,
2013.9.30,1.68,0.2906,3.05,37472 ,6.083854712,,
2013.6.30,1.88,0.2993,2.55,35323 ,-18.98951907,,
2013.3.31,1.78,0.322,2.66,43603 ,-20.01210743,,
2012.12.31,1.54,0.3632,3.38,54512 ,51.56536729,,
2012.9.30,1.5,0.3951,4.54,35966 ,2.692516346,,
2012.6.30,1.57,0.4214,4.18,35023 ,-10.62369213,,
2012.3.31,1.58,0.4563,4.67,39186 ,-15.42529083,,
2011.12.31,1.58,0.4435,3.58,46333 ,63.8945879,,
2011.9.30,1.61,0.3956,3.95,28270 ,-1.053515803,,
2011.6.30,1.75,0.4048,3.83,28571 ,15.82681315,,
2011.3.31,1.93,0.3777,4.48,24667 ,-7.755880483,,
2010.12.31,1.85,0.3599,4.64,26741 ,31.45062184,,
2010.9.30,2.01,0.3376,4.64,20343 ,29.57324841,,
2010.6.30,2.31,0.3266,4.55,15700 ,16.30491147,,
2010.3.31,2.64,0.326,4.64,13499 ,-13.92590703,,
2009.12.31,2.55,0.3183,4.56,15683 ,28.4754649,,
,,,,12207 ,,,
,,,,,,,
,,,,,,,