Date,Current Ratio,ROE,PBR,Profit,GROWTH
2022.6.30,1.53,1.4412,55.52,6594,5.706957358
2022.3.31,1.44,0.9507,53.8,6238,-8.881098452
2021.12.31,1.59,0.7253,139.91,6846,2.087682672
2021.9.30,1.64,0.6373,18.44,6706,2.758197977
2021.6.30,1.31,0.6057,14.26,6526,10.59142518
2021.3.31,1.66,0.7022,16.3,5901,-11.04914079
2020.12.31,1.81,0.7172,14.74,6634,3.285069282
2020.9.30,2.28,0.7212,13.48,6423,3.496616178
2020.6.30,2.18,0.7166,12.83,6206,0.730400909
2020.3.31,1.59,0.751,12.22,6161,-0.580926255
2019.12.31,1.44,0.7429,11.75,6197,8.018127941
2019.9.30,2.89,0.7162,13.69,5737,-2.282405042
2019.6.30,2.9,0.6567,9.74,5871,5.650530862
2019.3.31,2.77,0.6142,9.48,5557,-10.80256822
2018.12.31,2.79,0.5852,9.86,6230,5.521680217
2018.9.30,3.08,0.1256,8.9,5904,-2.558177917
2018.6.30,3.39,0.1075,8.34,6059,9.092545913
2018.3.31,3.88,0.0847,7.19,5554,-4.274388142
2017.12.31,5.49,0.0661,6.46,5802,0.502338472
2017.9.30,6.07,0.2628,4.39,5773,-0.636833046
2017.6.30,6.2,0.2658,3.68,5810,6.332357247
2017.3.31,4.42,0.26,3.45,5464,-8.398994132
2016.12.31,4.11,0.2586,3.41,5965,2.650146274
2016.9.30,4.35,0.2579,3.1,5811,2.162447257
2016.6.30,3.97,0.2588,3.44,5688,2.91297268
2016.3.31,4.95,0.2572,3.21,5527,-0.162572254
2015.12.31,4.45,0.2522,3.64,5536,-3.267517037
2015.9.30,5.42,0.2388,3.1,5723,6.573556797
2015.6.30,5.48,0.2213,3.51,5370,6.695807669
2015.3.31,5.53,0.2239,3.78,5033,-5.589945601
2014.12.31,4.95,0.21,3.85,5331,5.963029219
2014.9.30,4.22,0.2067,3.31,5031,-2.876447876
2014.6.30,4.36,0.2203,3.44,5180,14.57642115
2014.3.31,3.45,0.2166,3,4521,-9.778487328
2013.12.31,3.44,0.2422,3.32,5011,5.539174389
2013.9.30,6.33,0.2398,3.13,4748,1.474674076
2013.6.30,6.2,0.2321,3.11,4679,10.40585182
2013.3.31,5.58,0.2366,2.88,4238,-4.139334992
2012.12.31,3.81,0.2255,3.13,4421,2.361657791
2012.9.30,3.9,0.2332,2.7,4319,-3.529148984
2012.6.30,3.68,0.1902,2.56,4477,10.59782609
2012.3.31,3.24,0.1719,2.28,4048,1.88774226
2011.12.31,4.8,0.1581,2.19,3973,0.735294118
2011.9.30,4.6,0.1538,2.08,3944,-0.378883556
2011.6.30,5.56,0.1847,1.58,3959,6.826767404
2011.3.31,5.1,0.1907,1.61,3706,-3.514709711
2010.12.31,3.52,0.1979,1.53,3841,0.655136268
2010.9.30,3.66,0.1967,1.64,3816,0.315457413
2010.6.30,3.37,0.2059,1.67,3804,5.902004454
2010.3.31,3.02,0.2131,1.67,3592,-5.697033342
2009.12.31,4.89,0.2121,1.98,3809,-0.078698846